-15.6,-4.2,-11.8,11.4,-37,-15
-4,-0.2,-7.4,8.6,0,-8.4
-7.8,-3.8,-5.4,2.2,-5,-14.6
-9.2,-2.4,-7.6,6,-5.8,-13.6
-11.4,-7,-9.6,2.8,1,-21
-13.4,-3.6,-7.4,10.2,12.8,-10.4
-6.6,1.2,-0.8,6.8,7.6,-17.2
-9.2,-3.8,-4,0.8,-16.2,-22.6
-16,-4.6,-8.4,-0.2,-19.8,-13.8
-11.4,-0.6,-1.4,6.6,-4.2,-16.4
-1.4,4,-2.4,12.2,-2.4,-14.4
0.2,5,-11,6.8,-11.8,-17.2
-6,1,-8.8,2.6,-13.2,-27.2
-5,1,-1.8,0.2,-6,-23.6
-0.4,6,-7.8,-1.6,-20.6,-13.2
0,5.4,-10.2,1.2,-22.8,-20.6
-7.8,-1.2,-12,-5.6,-37.8,-24.2
-4.8,-1.2,-8.8,-1.2,4.8,-23.4
0,7.6,-9.8,5.8,7.4,-11.4
-0.4,6.4,-11.4,4,-3.8,-14.6
-18,-4.6,-34.8,-7,-9.6,-20.8
-22.8,-7.6,-22.8,-5,-15,-22.8
-5.8,2,-9.8,5.8,-9.8,-15.8
-6.8,2,-17.4,2.2,-17,-16.4
-21.4,-4.2,-12.6,-0.8,-26.6,-18.2
-22.2,-4.2,-13,0.2,-30.4,-15.8
-13.6,-3.2,-15.2,-1,-16.2,-21
-10.8,-4.6,-16.6,-2.2,-23.8,-22.6
-17,-6.2,-21.4,-3,-25.8,-11
-18.2,-6.6,-25.8,-4.8,-28.4,-17
-13.4,-5,-16.4,-4.6,-3.4,-21
-9,0,-7.2,0.8,-20.6,-7
-14.2,-7.2,-18.2,-7.8,-22.2,-13.6
-22.8,-18,-32.2,-14.2,20.8,-24.8
-22.4,-17.8,-21.8,-10.6,-0.2,-24.8
-13.4,-2.2,-13.6,0.6,4.2,-12.4
-13.2,3.6,-18,-0.2,-1,-15
-13,-1.8,-17.4,-3.2,-15.4,-20.6
-8.6,-4.8,-12.8,-8.4,-18.4,-22.8
-6,-0.2,-8.2,2.6,-11,-21
-1.6,3.4,-10.6,8.8,-1.8,-20.4
1.4,1.6,-11.4,-2.8,1.8,-22.4
-4.2,0,-7.2,0.2,-27.4,-30.8
0.8,7.2,-3.8,9.2,-8.6,-13.8
3.2,7,-1.2,8,-12.4,-6
-9.4,2.8,-1.4,8.4,-28,-19
-9.6,1,-7.4,7,-13.4,-17.4
-0.6,2.8,-0.4,1.2,6.2,-17.2
3.6,10,3.8,8.8,7.6,-16
-3.2,5.4,-6.2,7.6,-5,-29
-8.2,-3.8,-16,-6,-12,-19.2
-3.6,-1.4,-2.8,3,-14.4,-16.6
3.4,7,3.4,11.8,-10.8,-7.8
